Paises,Inmigrantes
España,25929
Portugal,13686
Francia,4796
Reino Unido,1125
Argentina,819
Marruecos,556
Italia,527
Filipinas,443
Alemania,392
Países Bajos,257
Bélgica,231
Chile,230
Uruguay,122
Dinamarca,121
Estados Unidos,100
Suiza,87
Australia,70
Suecia,53
Estados Federados de Micronesia,0
