Paises,Inmigrantes
España,26841
Portugal,6771
Francia,4298
Reino Unido,907
Marruecos,471
Alemania,355
Filipinas,297
Bélgica,241
Países Bajos,229
Italia,151
Argentina,151
Dinamarca,138
Estados Unidos,89
Uruguay,77
Suiza,74
Chile,58
Suecia,49
Australia,41
Estados Federados de Micronesia,0
