Paises,Inmigrantes
España,22196
Portugal,11534
Francia,4194
Reino Unido,1135
Argentina,734
Marruecos,505
Italia,492
Filipinas,457
Alemania,364
Países Bajos,262
Bélgica,230
Chile,229
Dinamarca,119
Estados Unidos,112
Uruguay,108
Suiza,85
Australia,69
Suecia,51
Estados Federados de Micronesia,0
