Paises,Inmigrantes
España,20577
Portugal,10697
Francia,3890
Reino Unido,1054
Argentina,682
Marruecos,470
Italia,458
Filipinas,425
Alemania,339
Países Bajos,244
Bélgica,215
Chile,214
Dinamarca,112
Estados Unidos,105
Uruguay,102
Suiza,80
Australia,65
Suecia,49
Estados Federados de Micronesia,0
