Paises,Inmigrantes
España,28450
Portugal,10722
Francia,4875
Reino Unido,1085
Marruecos,549
Argentina,494
Alemania,401
Filipinas,392
Italia,349
Países Bajos,260
Bélgica,255
Chile,148
Dinamarca,140
Uruguay,105
Estados Unidos,101
Suiza,86
Australia,59
Suecia,55
Estados Federados de Micronesia,0
