Paises,Inmigrantes
España,27103
Francia,4135
Portugal,3957
Reino Unido,1043
Alemania,347
Marruecos,296
Bélgica,241
Países Bajos,190
Filipinas,146
Italia,109
Estados Unidos,100
Argentina,86
Dinamarca,84
Uruguay,78
Chile,68
Suiza,64
Suecia,54
Australia,36
Estados Federados de Micronesia,0
