0-14 años %,15-64 años %,> 64 años %
0.36945169712793713,0.125764192139739,0.5598227474150665
0.29373368146214074,0.1598253275109176,0.5878877400295419
0.3511749347258486,0.13362445414847102,0.567208271787297
0.408616187989556,0.03842794759825363,0.6632200886262927
0.32506527415143593,0.1545851528384281,0.5612998522895125
0.5221932114882508,0.12227074235807844,0.8936484490398817
0.33028720626631847,0.07685589519650726,0.6868537666174297
0.4595300261096604,0.042794759825327766,0.5982274741506646
0.6631853785900781,0.10917030567685515,0.2555391432791727
0.0,0.08296943231441034,0.9999999999999998
0.3851174934725847,0.13799126637554693,0.5228951255539143
0.25065274151436023,0.06637554585152827,0.7946824224519939
0.5208877284595299,0.08646288209607,0.9098966026587887
0.058746736292428325,0.07336244541484671,0.9999999999999998
0.9999999999999998,0.03493449781659397,0.0
0.3720626631853785,0.01921397379912637,0.7370753323485968
0.11357702349869458,0.06637554585152827,0.9497784342688329
0.446475195822454,0.22794759825327482,0.30132939438700146
0.8929503916449086,0.0445414847161576,0.10487444608567209
0.15274151436031325,0.07947598253275157,0.8833087149187591
0.7937336814621407,0.07685589519650726,0.16248153618906946
0.39033942558746726,0.08296943231441034,0.6085672082717872
0.5626631853785897,0.20087336244541554,0.2156573116691285
0.5052219321148821,0.059388646288209834,0.8567208271787294
0.3877284595300259,0.04803493449781726,0.670605612998523
0.3211488250652741,0.14148471615720482,0.5878877400295419
0.36161879895561366,0.0,0.7813884785819794
0.3720626631853785,0.026200873362445698,0.7252584933530282
0.27154046997389014,0.14585152838427895,0.6366322008862628
0.42950391644908614,0.20960698689956292,0.35007385524372236
